,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
7231,2012-04-19 16:00:00,2,0,1,1,25.42,31.06,41,7.0015,63,324,387
9097,2012-09-02 10:00:00,3,0,0,2,29.52,34.85,79,0.0,158,230,388
5379,2011-12-18 05:00:00,4,0,0,1,8.2,11.365,59,7.0015,1,4,5
4201,2011-10-07 02:00:00,4,0,1,1,17.22,21.21,88,0.0,0,5,5
774,2011-02-15 16:00:00,1,0,1,1,13.94,15.91,19,16.9979,21,77,98
1540,2011-04-10 01:00:00,2,0,0,2,15.58,19.695,87,8.9981,6,31,37
10538,2012-12-05 12:00:00,4,0,1,1,18.04,21.97,41,19.0012,24,208,232
8328,2012-07-08 09:00:00,3,0,0,1,35.26,40.91,50,7.0015,70,172,242
612,2011-02-08 16:00:00,1,0,1,1,9.02,9.09,35,35.0008,4,79,83
3040,2011-07-15 14:00:00,3,0,1,1,28.7,32.575,51,12.998,105,160,265
7952,2012-06-11 17:00:00,2,0,1,2,32.8,35.605,41,23.9994,85,715,800
2491,2011-06-11 17:00:00,2,0,0,2,30.34,34.09,58,11.0014,147,190,337
9753,2012-10-10 18:00:00,4,0,1,2,22.96,26.515,49,11.0014,57,787,844
618,2011-02-08 22:00:00,1,0,1,1,4.92,5.305,33,23.9994,0,29,29
9659,2012-10-06 20:00:00,4,0,0,1,19.68,23.485,55,16.9979,75,172,247
644,2011-02-10 01:00:00,1,0,1,3,5.74,7.575,80,8.9981,0,7,7
225,2011-01-10 16:00:00,1,0,1,1,8.2,10.605,40,8.9981,4,70,74
9471,2012-09-18 00:00:00,3,0,1,3,24.6,25.76,94,16.9979,2,11,13
2608,2011-06-16 14:00:00,2,0,1,2,29.52,33.335,54,22.0028,39,114,153
7204,2012-04-18 13:00:00,2,0,1,3,18.86,22.725,59,0.0,13,51,64
4228,2011-10-08 05:00:00,4,0,0,1,17.22,21.21,88,7.0015,1,7,8
5860,2012-01-19 09:00:00,1,0,1,1,4.92,9.85,54,0.0,6,204,210
2751,2011-07-03 13:00:00,3,0,0,1,32.8,38.635,59,15.0013,248,173,421
4702,2011-11-09 00:00:00,4,0,1,1,14.76,18.94,87,0.0,0,13,13
8513,2012-07-16 02:00:00,3,0,1,1,28.7,33.335,74,7.0015,4,11,15
6177,2012-02-13 15:00:00,1,0,1,1,14.76,17.425,27,8.9981,10,145,155
4109,2011-10-03 06:00:00,4,0,1,2,14.76,18.94,71,0.0,3,91,94
6934,2012-04-07 06:00:00,2,0,0,1,13.12,15.91,36,12.998,1,18,19
8735,2012-08-06 08:00:00,3,0,1,2,28.7,33.335,79,0.0,27,578,605
1207,2011-03-15 01:00:00,1,0,1,1,12.3,15.15,62,6.0032,4,6,10
3779,2011-09-08 11:00:00,3,0,1,2,26.24,28.03,94,15.0013,16,82,98
8890,2012-08-12 19:00:00,3,0,0,1,30.34,32.575,40,8.9981,148,317,465
7906,2012-06-09 19:00:00,2,0,0,1,32.8,34.85,29,11.0014,128,232,360
1123,2011-03-11 11:00:00,1,0,1,2,13.12,15.15,57,19.9995,14,67,81
318,2011-01-14 18:00:00,1,0,1,1,8.2,12.88,47,0.0,5,134,139
3513,2011-08-16 07:00:00,3,0,1,1,26.24,30.305,69,16.9979,18,328,346
